annotation	enrich_per_mean_diff_by_genomstd	mean_trait_loci	median_trait_loci	emp_pvalue	mean_matched_across_trait_loci	std_matched_across_trait_loci	genome_wide_anno_std	matched_5th	median_matched_loci	matched_95th	region_summary	trait_summary	n_lead_loci	n_matched_loci	matched_snps_at_start	matched_snps_removed	percent_matched_removed	trait_snps_removed
B2	0.07069	65661.71000	63481.15000	0.33400	62979.32250	7376.48305	37947.18239	51741.86325	62451.44750	76144.32900	extreme	mean	20	5000	555000	10378	1.86991	0
argweave	0.07069	65661.71000	63481.15000	0.33400	62979.32250	7376.48305	37947.18239	51741.86325	62451.44750	76144.32900	extreme	mean	20	5000	555000	10378	1.86991	0
betascore	-0.03996	5.02920	1.31183	0.44360	5.40319	1.62442	9.35820	3.07777	5.24607	8.32190	extreme	mean	20	5000	555000	10097	1.81928	0
fst_eas_afr	-0.13903	0.13194	0.11859	0.29940	0.15172	0.03504	0.14223	0.09764	0.14936	0.21095	extreme	mean	20	5000	555000	12909	2.32595	0
fst_eur_afr	0.08068	0.13693	0.10351	0.34500	0.12745	0.02836	0.11752	0.08448	0.12539	0.17722	extreme	mean	20	5000	555000	10125	1.82432	0
fst_eur_eas	0.16458	0.10561	0.07798	0.23600	0.09039	0.02260	0.09243	0.05600	0.08847	0.13017	extreme	mean	20	5000	555000	10158	1.83027	0
gerp	-0.33493	-1.51433	-0.23990	0.12700	-0.88363	0.56180	1.88311	-1.82311	-0.88266	0.04915	extreme	mean	20	5000	555000	10097	1.81928	0
geva_allele_age	0.07069	65661.71000	63481.15000	0.33400	62979.32250	7376.48305	37947.18239	51741.86325	62451.44750	76144.32900	extreme	mean	20	5000	555000	10378	1.86991	0
iES_Sabeti	0.00195	6852.79265	4686.36356	0.35880	6805.95331	3541.63312	24041.35281	5172.79677	6499.05494	8434.72074	extreme	mean	17	5000	555000	101908	18.36180	13
linsigh	0.24435	0.12727	0.07511	0.22420	0.10524	0.03244	0.09016	0.06132	0.10247	0.16573	extreme	mean	20	5000	555000	13814	2.48901	1
phastCon100	-0.35853	0.09890	0.00250	0.08160	0.16664	0.05220	0.18895	0.08955	0.16160	0.25860	extreme	mean	20	5000	555000	15821	2.85063	0
phyloP100	-0.43115	-0.50305	-0.09100	0.12360	-0.09179	0.35655	0.95387	-0.65885	-0.10220	0.50505	extreme	mean	20	5000	555000	15821	2.85063	0
xpehh_afr2_eas	0.15645	-0.04556	0.26116	0.29260	-0.21438	0.31204	1.07908	-0.72487	-0.22012	0.29953	extreme	mean	20	5000	555000	77391	13.94432	0
xpehh_afr2_eur	0.03758	0.01305	0.31222	0.45420	-0.02790	0.31858	1.08962	-0.55511	-0.02605	0.49041	extreme	mean	20	5000	555000	99789	17.98000	0
xpehh_eas_eur	-0.12835	0.10755	0.14163	0.32360	0.24620	0.30397	1.08025	-0.25444	0.24306	0.74407	extreme	mean	20	5000	555000	99821	17.98577	0
