annotation	enrich_per_mean_diff_by_genomstd	mean_trait_loci	median_trait_loci	emp_pvalue	mean_matched_across_trait_loci	std_matched_across_trait_loci	genome_wide_anno_std	matched_5th	median_matched_loci	matched_95th	region_summary	trait_summary	n_lead_loci	n_matched_loci	matched_snps_at_start	matched_snps_removed	percent_matched_removed	trait_snps_removed
B2	-0.08485	51608.22813	48908.20000	0.20180	54828.12379	3775.39530	37947.18239	49023.94642	54704.00367	61281.74641	extreme	mean	64	5000	665000	34825	5.23684	0
argweave	-0.08485	51608.22813	48908.20000	0.20180	54828.12379	3775.39530	37947.18239	49023.94642	54704.00367	61281.74641	extreme	mean	64	5000	665000	34825	5.23684	0
betascore	0.02681	1.41011	-0.12187	0.24520	1.15925	0.41455	9.35820	0.54400	1.12441	1.87759	extreme	mean	64	5000	665000	33442	5.02887	0
fst_eas_afr	-0.06049	0.10970	0.06339	0.34760	0.11830	0.01996	0.14223	0.08725	0.11746	0.15362	extreme	mean	51	5000	665000	115922	17.43188	15
fst_eur_afr	0.29520	0.12150	0.04720	0.00800	0.08681	0.01346	0.11752	0.06565	0.08633	0.10981	extreme	mean	64	5000	665000	33552	5.04541	0
fst_eur_eas	-0.08582	0.05553	0.03179	0.23200	0.06347	0.01026	0.09243	0.04792	0.06290	0.08176	extreme	mean	64	5000	665000	33646	5.05955	0
gerp	-0.16025	-0.77170	0.00000	0.14360	-0.46993	0.27717	1.88311	-0.92457	-0.46836	-0.01558	extreme	mean	64	5000	665000	33442	5.02887	0
geva_allele_age	-0.08485	51608.22813	48908.20000	0.20180	54828.12379	3775.39530	37947.18239	49023.94642	54704.00367	61281.74641	extreme	mean	64	5000	665000	34825	5.23684	0
iES_Sabeti	-0.07003	5894.12905	4763.35392	0.03060	7577.86063	8275.73582	24041.35281	6012.87257	6973.75504	8924.06347	extreme	mean	60	5000	665000	154149	23.18030	16
linsigh	0.10840	0.09030	0.05837	0.23420	0.08053	0.01480	0.09016	0.05930	0.07871	0.10740	extreme	mean	62	5000	665000	40155	6.03835	5
phastCon100	0.12334	0.13178	0.00400	0.20340	0.10848	0.02851	0.18895	0.06493	0.10691	0.15728	extreme	mean	64	5000	665000	40157	6.03865	0
phyloP100	-0.03468	-0.11534	-0.03950	0.42340	-0.08227	0.15554	0.95387	-0.32905	-0.08657	0.17873	extreme	mean	64	5000	665000	40157	6.03865	0
xpehh_afr2_eas	0.20764	0.11949	0.22060	0.08120	-0.10456	0.16145	1.07908	-0.37329	-0.10458	0.16115	extreme	mean	62	5000	665000	128920	19.38647	8
xpehh_afr2_eur	0.09228	0.12319	0.26401	0.27660	0.02264	0.16782	1.08962	-0.26209	0.02510	0.29502	extreme	mean	62	5000	665000	151830	22.83158	8
xpehh_eas_eur	-0.07098	0.09918	0.05910	0.32020	0.17586	0.16288	1.08025	-0.08983	0.17735	0.44372	extreme	mean	62	5000	665000	151883	22.83955	8
