annotation	enrich_per_mean_diff_by_genomstd	mean_trait_loci	median_trait_loci	emp_pvalue	mean_matched_across_trait_loci	std_matched_across_trait_loci	genome_wide_anno_std	matched_5th	median_matched_loci	matched_95th	region_summary	trait_summary	n_lead_loci	n_matched_loci	matched_snps_at_start	matched_snps_removed	percent_matched_removed	trait_snps_removed
B2	0.04033	55751.88800	55654.40000	0.35580	54221.60069	5881.50476	37947.18239	45635.27440	53703.00460	64449.96600	extreme	mean	25	5000	195000	11658	5.97846	0
argweave	0.04033	55751.88800	55654.40000	0.35580	54221.60069	5881.50476	37947.18239	45635.27440	53703.00460	64449.96600	extreme	mean	25	5000	195000	11658	5.97846	0
betascore	-0.01288	1.21519	-0.13231	0.47900	1.33576	0.72198	9.35820	0.33450	1.25399	2.60892	extreme	mean	25	5000	195000	11172	5.72923	0
fst_eas_afr	-0.25283	0.08389	0.04957	0.11940	0.11985	0.03155	0.14223	0.07162	0.11759	0.17465	extreme	mean	21	5000	195000	31588	16.19897	4
fst_eur_afr	0.01493	0.09292	0.02194	0.43060	0.09116	0.02145	0.11752	0.05862	0.08919	0.12863	extreme	mean	25	5000	195000	11210	5.74872	0
fst_eur_eas	-0.17643	0.05270	0.01677	0.17340	0.06901	0.01700	0.09243	0.04258	0.06796	0.09849	extreme	mean	25	5000	195000	11259	5.77385	0
gerp	0.03783	-0.32154	0.00000	0.44340	-0.39279	0.39531	1.88311	-1.05562	-0.38212	0.24085	extreme	mean	25	5000	195000	11172	5.72923	0
geva_allele_age	0.04033	55751.88800	55654.40000	0.35580	54221.60069	5881.50476	37947.18239	45635.27440	53703.00460	64449.96600	extreme	mean	25	5000	195000	11658	5.97846	0
iES_Sabeti	-0.04794	5526.47038	3955.51369	0.19960	6679.11200	4833.91572	24041.35281	4954.58278	6248.78945	8760.33971	extreme	mean	25	5000	195000	54503	27.95026	5
linsigh	0.36074	0.10326	0.05513	0.06940	0.07073	0.01968	0.09016	0.05033	0.06406	0.10898	extreme	mean	22	5000	195000	12848	6.58872	3
phastCon100	0.06677	0.09828	0.01000	0.34660	0.08566	0.04162	0.18895	0.02428	0.08140	0.15988	extreme	mean	25	5000	195000	13581	6.96462	0
phyloP100	0.12601	0.02972	-0.01700	0.28260	-0.09048	0.22234	0.95387	-0.43507	-0.09369	0.28845	extreme	mean	25	5000	195000	13581	6.96462	0
xpehh_afr2_eas	0.29446	0.21133	0.11013	0.11600	-0.10642	0.26337	1.07908	-0.54497	-0.10521	0.31932	extreme	mean	25	5000	195000	47510	24.36410	5
xpehh_afr2_eur	0.19055	0.25441	0.36274	0.21940	0.04679	0.26909	1.08962	-0.39556	0.04916	0.47832	extreme	mean	25	5000	195000	54036	27.71077	5
xpehh_eas_eur	0.04733	0.25436	0.38070	0.42280	0.20323	0.26678	1.08025	-0.24057	0.20508	0.63051	extreme	mean	25	5000	195000	54063	27.72462	5
