annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phastCon100	0.0	0.5298290653318725	False	0.1424776202507954	0.13611635088234172	0.15107191615520427	0.15767749937516626	0.14679195972846523	0.2469012345679012	0.1467120934946326	0.014	1377	1381	5000	(-0.165814, -0.02140582]	4.2902248126561195	0.19428254232583958	extreme	0.006519311496198007	bolt_ht	mean
phastCon100	0.0	0.49137797669412825	False	0.16545280183576372	0.15883248032707492	0.17449000137160928	0.18114375698353918	0.16992755487085143	0.2627716363636364	0.16991546127774412	0.023	1375	1380	5000	(-0.02140582, -0.01169522]	4.341276781810232	0.2295583734149541	extreme	0.006706772425527287	bolt_ht	mean
phastCon100	0.0	0.38767595907164404	False	0.14738904564474645	0.14116529833198974	0.15621142903605914	0.16285774633007355	0.15183850746541702	0.22508846990572878	0.15178728112243997	0.012	1379	1381	5000	(-0.01169522, 0.011322640000000004]	5.277408479053969	0.26418417410995093	extreme	0.006532689829214932	bolt_ht	mean
phastCon100	0.0	0.4843862680038633	False	0.1751258683890383	0.16880741213151926	0.18412575338704262	0.19093914883153185	0.17970000850448656	0.2712230320699708	0.1797011376288909	0.02	1372	1380	5000	(0.011322640000000004, 0.02013272]	3.951899213791797	0.38836790754949324	extreme	0.006734141775914584	bolt_ht	mean
phastCon100	0.0	0.5895174585318022	False	0.14818506362058995	0.1419114224435136	0.15671777969938713	0.16311144729272292	0.15247493937270112	0.2638621190130624	0.15250146735143066	0.016	1378	1381	5000	(0.02013272, 0.141562]	4.181923024243255	0.27393507738665934	extreme	0.006453791441066814	bolt_ht	mean
argweave	0.0002	-0.07695888446619235	False	55993.4293568874	55183.131811563835	57180.859635946865	58051.56285271831	56597.85849489613	53677.4856698045	56580.985278031876	48574.9	1381	1381	5000	(-0.165814, -0.02140582]	3.0347710241465444	0.0	extreme	869.3523372280681	bolt_ht	mean
argweave	0.0154	-0.049020289735573694	False	61632.30898749979	60799.56744623938	62845.778528799565	63759.502676057586	62251.00611435988	60390.82423913044	62222.82006990035	54161.7	1380	1380	5000	(-0.02140582, -0.01169522]	3.2732772190642767	0.0	extreme	900.7253087312748	bolt_ht	mean
argweave	0.0024	-0.06108630565047462	False	62656.31910615896	61824.45321899953	63879.59005116428	64787.9446636407	63274.36462281405	60956.31144098479	63256.57142131979	55271.1	1381	1381	5000	(-0.01169522, 0.011322640000000004]	4.245125172977733	0.0	extreme	899.3346183337871	bolt_ht	mean
argweave	0.0	-0.10265722286932638	False	62758.952984537646	61858.375404502	64029.87264622698	64920.56211046772	63399.63032179402	59504.07796229152	63404.19134488751	53935.8	1379	1380	5000	(0.011322640000000004, 0.02013272]	2.842796248934356	0.00947238798901203	extreme	933.9607043355107	bolt_ht	mean
argweave	0.0234	-0.04511893384884808	False	56582.115466374016	55741.54956275239	57777.10308644511	58685.91568504606	57188.994739140704	55476.85832729905	57191.17228173432	49840.2	1381	1381	5000	(0.02013272, 0.141562]	3.0076920969730176	0.0	extreme	884.9951368093003	bolt_ht	mean
