annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phastCon100	0.0	0.5215633570581655	False	0.13482287681713848	0.12849601942882527	0.14342322457711326	0.15027836198382172	0.13921613703909558	0.23776363636363634	0.139122760216089	0.013	1320	1324	5000	(-0.165814, -0.021281]	4.413294964028777	0.20783373301358912	extreme	0.0065362986195742255	gene_dens_10	mean
phastCon100	0.0	0.48587505819371124	False	0.15670004509646412	0.15045399223541084	0.16585528902215557	0.1724925845640337	0.16135145001904924	0.25315577507598785	0.1614370291638696	0.021	1316	1321	5000	(-0.021281, -0.011670579999999998]	4.589457875457875	0.2442002442002442	extreme	0.006721905630757437	gene_dens_10	mean
phastCon100	0.0	0.38546323598061566	False	0.1427026867814087	0.13617452981524503	0.15164949495533186	0.15814787988369405	0.1471386004512163	0.21997047691143073	0.14701984743233315	0.011	1321	1323	5000	(-0.011670579999999998, 0.01124522]	5.461725973662091	0.22415242364808072	extreme	0.006644182453251101	gene_dens_10	mean
phastCon100	0.0	0.47841867519022446	False	0.16770570241195193	0.1612729068798934	0.17684812018604823	0.1836350381679389	0.17233664706908752	0.26273211567732113	0.1723217821782178	0.018000000000000002	1314	1322	5000	(0.01124522, 0.020029020000000005]	4.099216433714528	0.3917831427361288	extreme	0.006776355693126844	gene_dens_10	mean
phastCon100	0.0	0.5654122328412085	False	0.1383999980725898	0.1319984751421517	0.14703426937241745	0.15352922495839819	0.14270908174680216	0.24954166666666666	0.1427353115506275	0.013	1320	1323	5000	(0.020029020000000005, 0.141562]	4.346164758987587	0.11284862163469288	extreme	0.006463093025953392	gene_dens_10	mean
argweave	0.0004	-0.06985913925998402	False	55606.28919207657	54787.567663038	56758.75061710906	57631.49742528137	56188.91715142273	53537.95965256797	56180.44025114209	48318.35	1324	1324	5000	(-0.165814, -0.021281]	3.2871974420463625	0.0	extreme	869.2954354716791	gene_dens_10	mean
argweave	0.0484	-0.038785337682330535	False	61067.32625955243	60229.10409207612	62294.28192553838	63145.72569891157	61689.943677347255	60218.14939439818	61684.69642369021	54066.4	1321	1321	5000	(-0.021281, -0.011670579999999998]	3.520949938949939	0.0	extreme	897.8568439204212	gene_dens_10	mean
argweave	0.0144	-0.05090349547998714	False	62342.5674601128	61506.72391678482	63575.77009474298	64508.06881892164	62973.74241302484	61042.098185941046	62948.013314084994	55290.4	1323	1323	5000	(-0.011670579999999998, 0.01124522]	4.468386102549734	0.0	extreme	907.0025888564007	gene_dens_10	mean
argweave	0.0	-0.0870949037990764	False	62309.385956637205	61439.8699754287	63544.67219461306	64507.8013495072	62941.81377698128	59636.807577592735	62927.63277362542	54050.9	1321	1322	5000	(0.01124522, 0.020029020000000005]	3.058835239305379	0.010588733587462939	extreme	928.2705242255079	gene_dens_10	mean
argweave	0.0576	-0.03593186856784545	False	56064.813756456024	55243.76793484849	57243.91443035579	58139.19113391897	56662.43807554555	55298.924905517764	56643.32241593093	49311.0	1323	1323	5000	(0.020029020000000005, 0.141562]	3.297414154441399	0.0	extreme	884.4728820289234	gene_dens_10	mean
