annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phastCon100	0.0	0.5124453866473663	False	0.13631993039434823	0.1298693718228032	0.14526553128589687	0.15156740735282578	0.14083992812881765	0.23766462010744432	0.1410217139241907	0.013	1303	1307	5000	(-0.165814, -0.021682279999999998]	4.3470830629461386	0.1946787800129786	extreme	0.006605861687254105	gene_dist_25_per	mean
phastCon100	0.0	0.517188161971484	False	0.16322935684764828	0.15665896433007795	0.17276102636102636	0.1794577913473662	0.1679461003605217	0.2656669224865694	0.16784214392964392	0.024	1303	1308	5000	(-0.021682279999999998, -0.0118444]	4.059123261843036	0.2592505302851756	extreme	0.006943961610032381	gene_dist_25_per	mean
phastCon100	0.0	0.369141465449885	False	0.14736616771509503	0.14076731066460588	0.15637033038085696	0.16275261055328008	0.15179542419075526	0.22154336147352263	0.15184404344911498	0.011	1303	1305	5000	(-0.0118444, 0.01132836]	5.141615416154162	0.2050020500205002	extreme	0.0066415925184673645	gene_dist_25_per	mean
phastCon100	0.0	0.49629478144012895	False	0.1703860522552583	0.16385806067571826	0.17953838734567903	0.18657771856220545	0.17501229074888075	0.2687853846153846	0.17487648235855635	0.02	1300	1307	5000	(0.01132836, 0.020434940000000006]	4.02959623005248	0.3641426582414052	extreme	0.00687080156997291	gene_dist_25_per	mean
phastCon100	0.0	0.5755658877971985	False	0.1413569498069498	0.13514282289298643	0.15040342688704833	0.15718671864337383	0.14586701706583188	0.2546180981595092	0.14573227442220743	0.014	1304	1307	5000	(0.020434940000000006, 0.141562]	4.33068880486602	0.29590662502054904	extreme	0.006723549226008101	gene_dist_25_per	mean
argweave	0.0018	-0.06717558266715108	False	55668.11108964135	54829.77697790891	56883.400023006136	57808.77725510978	56283.78818837697	53734.66410099465	56279.29095486617	48221.9	1307	1307	5000	(-0.165814, -0.021682279999999998]	3.2163238157040883	0.0	extreme	913.0613494466847	gene_dist_25_per	mean
argweave	0.0212	-0.04882253518139735	False	61503.40030929668	60649.85686238532	62737.905476793494	63664.47609157088	62128.15574342466	60275.478096330284	62133.6670053276	54153.75	1308	1308	5000	(-0.021682279999999998, -0.0118444]	3.0535234503888757	0.0	extreme	923.5815580328733	gene_dist_25_per	mean
argweave	0.0158	-0.051168557089890127	False	62729.087143404904	61873.77519133436	63964.61206422324	64865.249825576866	63343.95043040737	61402.24786206896	63326.862998466255	55382.2	1305	1305	5000	(-0.0118444, 0.01132836]	4.1551182178488455	0.0	extreme	914.7910794747717	gene_dist_25_per	mean
argweave	0.0	-0.1019445013895728	False	62454.27673502966	61570.829117534464	63723.30763782542	64664.937598467426	63090.483103599225	59221.97651607963	63072.09485362869	53686.149999999994	1306	1307	5000	(0.01132836, 0.020434940000000006]	2.9641490842883154	0.01071007818357074	extreme	945.8961053404474	gene_dist_25_per	mean
argweave	0.0296	-0.043349176994044655	False	56180.83012351231	55335.31690565443	57366.71226885564	58274.36999757207	56786.24718231107	55141.2680566182	56768.90509969325	49437.9	1307	1307	5000	(0.020434940000000006, 0.141562]	3.240950189051455	0.0	extreme	886.6216124483354	gene_dist_25_per	mean
fst_eur_afr	0.3942	-0.006041135509000474	False	0.06337882508619205	0.06109221163985664	0.06674067026531706	0.06922233606911324	0.06507039212937213	0.06436042462387145	0.06502238901732942	0.0289142	1307	1307	5000	(-0.165814, -0.021682279999999998]	3.0809409474367295	0.0	extreme	0.0024505874081423074	gene_dist_25_per	mean
fst_eur_afr	0.0	0.16750904097748992	False	0.11865463643925268	0.11543535187946895	0.12324800009921838	0.12677633019961582	0.12098414552977174	0.14067017571307341	0.12090570325042906	0.09300415000000001	1308	1308	5000	(-0.021682279999999998, -0.0118444]	2.9540136695734147	0.0	extreme	0.003386893069785862	gene_dist_25_per	mean
fst_eur_afr	0.0	0.1530290446993913	False	0.13801181107575922	0.13453693933761535	0.1429108714455192	0.1464495576190023	0.14044942937568608	0.15843373861233717	0.14037226742657544	0.128115	1305	1305	5000	(-0.0118444, 0.01132836]	4.051078310783108	0.0	extreme	0.0036238387491554737	gene_dist_25_per	mean
fst_eur_afr	0.0	0.15752500537539027	False	0.12353163154110558	0.12011769462098698	0.12811791681444146	0.13159778274995135	0.12580604906188264	0.1443187334659526	0.1257797410744602	0.102633	1307	1307	5000	(0.01132836, 0.020434940000000006]	2.8737346042626113	0.0	extreme	0.0034533572568346475	gene_dist_25_per	mean
fst_eur_afr	0.3172	0.010285568154338919	False	0.06952575861922353	0.0671027872564931	0.07294245325208684	0.0754810658341507	0.07123591775878794	0.07244470030543229	0.07119064627456896	0.034895800000000005	1307	1307	5000	(0.020434940000000006, 0.141562]	3.109360512904817	0.0	extreme	0.002550157837861201	gene_dist_25_per	mean
